REJECTION,PARTY,TYPE,PRECINCT
RECEIVED TOO LATE,REP,VOTE BY MAIL,124003
RECEIVED TOO LATE,REP,VOTE BY MAIL,115001
RECEIVED TOO LATE,REP,VOTE BY MAIL,105002
RECEIVED TOO LATE,REP,VOTE BY MAIL,115001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,129001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128001
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117038
RECEIVED TOO LATE,REP,VOTE BY MAIL,128008
RECEIVED TOO LATE,REP,VOTE BY MAIL,128022
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,102002
RECEIVED TOO LATE,REP,VOTE BY MAIL,128005
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117010
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117062
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117010
RECEIVED TOO LATE,DEM,VOTE BY MAIL,121001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117064
RECEIVED TOO LATE,REP,VOTE BY MAIL,113002
RECEIVED TOO LATE,REP,VOTE BY MAIL,103009
RECEIVED TOO LATE,REP,VOTE BY MAIL,117059
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,109004
RECEIVED TOO LATE,NPP,VOTE BY MAIL,128001
RECEIVED TOO LATE,REP,VOTE BY MAIL,117014
RECEIVED TOO LATE,REP,VOTE BY MAIL,117014
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117064
RECEIVED TOO LATE,REP,VOTE BY MAIL,128013
RECEIVED TOO LATE,DEM,VOTE BY MAIL,103005
RECEIVED TOO LATE,REP,VOTE BY MAIL,117010
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117080
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,107010
RECEIVED TOO LATE,DEM,VOTE BY MAIL,114001
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117021
RECEIVED TOO LATE,REP,VOTE BY MAIL,128002
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117010
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117088
RECEIVED TOO LATE,REP,VOTE BY MAIL,117112
RECEIVED TOO LATE,DEM,VOTE BY MAIL,121003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,126001
RECEIVED TOO LATE,AI,VOTE BY MAIL,105006
RECEIVED TOO LATE,REP,VOTE BY MAIL,117009
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117038
RECEIVED TOO LATE,DEM,VOTE BY MAIL,103004
RECEIVED TOO LATE,REP,VOTE BY MAIL,117047
RECEIVED TOO LATE,REP,VOTE BY MAIL,114001
RECEIVED TOO LATE,REP,VOTE BY MAIL,117038
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117038
RECEIVED TOO LATE,REP,VOTE BY MAIL,128005
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128013
RECEIVED TOO LATE,REP,VOTE BY MAIL,107010
RECEIVED TOO LATE,REP,VOTE BY MAIL,103002
RECEIVED TOO LATE,REP,VOTE BY MAIL,103002
RECEIVED TOO LATE,REP,VOTE BY MAIL,105006
RECEIVED TOO LATE,DEM,VOTE BY MAIL,106009
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117059
RECEIVED TOO LATE,REP,VOTE BY MAIL,109004
RECEIVED TOO LATE,REP,VOTE BY MAIL,117064
RECEIVED TOO LATE,REP,VOTE BY MAIL,121003
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117064
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117080
RECEIVED TOO LATE,NPP,VOTE BY MAIL,102012
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,110001
RECEIVED TOO LATE,NPP,VOTE BY MAIL,128028
RECEIVED TOO LATE,REP,VOTE BY MAIL,117080
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128005
RECEIVED TOO LATE,REP,VOTE BY MAIL,124003
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117002
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128028
RECEIVED TOO LATE,REP,VOTE BY MAIL,121003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,114001
RECEIVED TOO LATE,REP,VOTE BY MAIL,128015
RECEIVED TOO LATE,DEM,VOTE BY MAIL,112005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,132002
RECEIVED TOO LATE,AI,VOTE BY MAIL,117010
RECEIVED TOO LATE,DEM,VOTE BY MAIL,102007
RECEIVED TOO LATE,DEM,VOTE BY MAIL,109004
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117038
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117059
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,128005
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117029
RECEIVED TOO LATE,DEM,VOTE BY MAIL,102001
RECEIVED TOO LATE,REP,VOTE BY MAIL,117090
RECEIVED TOO LATE,DEM,VOTE BY MAIL,103005
RECEIVED TOO LATE,NPP,VOTE BY MAIL,121001
RECEIVED TOO LATE,AI,VOTE BY MAIL,119001
RECEIVED TOO LATE,REP,VOTE BY MAIL,132002
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117021
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117010
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117064
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,126002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128008
RECEIVED TOO LATE,REP,VOTE BY MAIL,128008
RECEIVED TOO LATE,REP,VOTE BY MAIL,121001
RECEIVED TOO LATE,REP,VOTE BY MAIL,121001
RECEIVED TOO LATE,REP,VOTE BY MAIL,117014
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117090
RECEIVED TOO LATE,REP,VOTE BY MAIL,117011
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117058
RECEIVED TOO LATE,REP,VOTE BY MAIL,128001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117064
RECEIVED TOO LATE,REP,VOTE BY MAIL,117112
RECEIVED TOO LATE,REP,VOTE BY MAIL,117104
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117062
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117091
RECEIVED TOO LATE,REP,VOTE BY MAIL,126002
RECEIVED TOO LATE,AI,VOTE BY MAIL,117021
RECEIVED TOO LATE,REP,VOTE BY MAIL,117072
